Protocol,Nodes,SimulationTime,Speed,TxPackets,RxPackets,LostPackets,PDR,PacketLoss,AverageDelay,AverageJitter,Throughput
AODV,50,200,20,17827,13586,4012,76.2102,22.5052,0.0321926,0.0198373,0.0267762
AODV,50,200,20,17827,13586,4012,76.2102,22.5052,0.0321926,0.0198373,0.0267762
AODV,50,200,20,17827,13586,4012,76.2102,22.5052,0.0321926,0.0198373,0.0267762
